# Traits in Affinity,weapon,# Traits,body,rune,% Traits in Affinity,Affinity,background,head,companion,shield,token_id,numTraits,image,name
4,Meta Sword,6,Dominion Plate Armor,Rune of Omega,66 percent,Darkness,Black,Darkling,Black Goat,Illuminatus Shield,0,11,https://portal.forgottenrunes.com/api/warriors/img/0,The Emissary
3,Sword of Babylon,3,Sovereign Epic Gear,,100 percent,Desert,Black,Akkadian,,,1,8,https://portal.forgottenrunes.com/api/warriors/img/1,Gligamesh
3,Joyeuse,6,Amethyst Spike Armor,Rune of Venus,50 percent,Blackness,Black,Motor Assassin,Black Goat,Iron Buckler,2,11,https://portal.forgottenrunes.com/api/warriors/img/2,Drake Guillotiner of the Sun
3,Battle Axe,6,Honor Guard of the North,Rune of Air,50 percent,Grey,Blue,Lady of the Mountain,Wild Eagle,White Holy Shield,3,11,https://portal.forgottenrunes.com/api/warriors/img/3,Velbi Axe of the Citadel
4,Lightning Sword,6,Surd Armor,Rune of Protection,66 percent,Purple Haze,Purple,Peahen Warrior,Scarlet Macaw,Triple Triangle Shield,4,11,https://portal.forgottenrunes.com/api/warriors/img/4,Mirembe Dueler of the Tower
4,Lazurite Dragon Sword,5,Street Hoodlum,Rune of Venus,80 percent,Blue Shift,Blue,Blue Dwarven Helm,Royal Razorback,,5,10,https://portal.forgottenrunes.com/api/warriors/img/5,Brumbum Slicer of the Alley
5,Ishtar Sword,6,Surd Armor,Rune of Omega,83 percent,Crimson,Red,Flower of the Wheel,Crimson Jaguar,Yellow Buckler,6,11,https://portal.forgottenrunes.com/api/warriors/img/6,Chara Bifurcator of Nothing
3,,3,Gladiator's Cloak with Olive Briefs,,100 percent,Grey,Blue,Elder,,White Holy Shield,7,8,https://portal.forgottenrunes.com/api/warriors/img/7,Raiden Scissor of the Arena
3,Flame Thrower,4,Superalloy Bot,,75 percent,Blue Shift,Blue,Guardian Helm,Ultramarine Rhinoceros Beetle,,8,9,https://portal.forgottenrunes.com/api/warriors/img/8,Guy Burner of X
5,Crystal Claymore,6,Yellow Road Spandex,Rune of Sun,83 percent,Purple Haze,Purple,Valkyrie,Sable Cobra,Yellow Kite,9,11,https://portal.forgottenrunes.com/api/warriors/img/9,Agnes Nullifier of the Back Alley
4,Katana,6,Nord Armor,Rune of Neptune,66 percent,Armor,Green,Lady of the Mountain,Robo Dog,Wolf Shield,10,11,https://portal.forgottenrunes.com/api/warriors/img/10,Bellicina Chopper of the Mountain
2,Partisan,5,Gallus Gear,Rune of Fire,40 percent,Spear,Blue,Foot Soldier Helm,,Magic Shield,11,10,https://portal.forgottenrunes.com/api/warriors/img/11,Clyde Paragon of the Duck Alliance
4,Lazurite Dragon Sword,5,Sakura Dress,Rune of Earth,80 percent,Blue Shift,Blue,Hibernian,Royal Razorback,,12,10,https://portal.forgottenrunes.com/api/warriors/img/12,Riley Amputator of the Mountain
3,Estoc,6,Brown Knight,Rune of Uranus,50 percent,Feminine,Black,Daughter of the Brine,Mutant Snapping Turtle,Tanker Heater Shield,13,11,https://portal.forgottenrunes.com/api/warriors/img/13,Molly Ruffian of Riffraff
5,Bowl of Ramen,6,Omega Plate Armor,Rune of Protection,83 percent,Crimson,Red,Blue Knight Helm,Demon Hound,Red Kite,14,11,https://portal.forgottenrunes.com/api/warriors/img/14,Richard of the Flame
5,Giant Cleaver,6,Yellow Road Spandex,Rune of Cinnabar,83 percent,Purple Haze,Purple,Red Horn Lady Buff,Null Goat,White Holy Shield,15,11,https://portal.forgottenrunes.com/api/warriors/img/15,Keren Eidolon of the Keep
